x,y
2414,15
3678,3784
63,1791
2445,937
2467,4466
4990,1279
3475,3861
758,4076
1903,4454
3320,2294
177,989
2212,332
2,2101
3263,4309
4764,3245
3642,835
2069,2898
2321,1605
4877,698
290,577
2150,2503
4371,2784
968,4343
2040,1339
557,3398
2373,2316
4258,1101
4702,4284
1722,4353
862,3365
4452,3304
2282,2394
3623,3045
4654,1128
1286,1010
987,3124
3286,4841
3833,1143
4584,2449
2900,3872
3400,1785
3905,4004
4108,2607
4036,493
3637,2459
1169,4059
429,1767
209,2911
3862,3202
82,4315
544,666
3236,52
2959,337
951,30
2214,2396
1857,1152
4692,2358
1566,863
3555,3775
2704,3146
1378,2709
3454,3565
1212,3664
1208,4293
2589,1058
1711,1530
3638,2860
3185,3500
4030,3191
1803,1607
3598,1673
4804,407
3181,272
1917,693
1529,2978
466,1420
1909,2437
709,4195
2330,2892
3370,3754
441,4228
4482,3527
4759,3724
4015,2086
3896,1764
2762,2178
345,358
430,1334
2865,31
2374,58
1150,521
3504,1819
4985,3248
4569,1810
3716,1579
2781,4983
838,4967
701,2613
2645,4390
3733,2663
2093,236
4276,363
1557,3020
656,1716
4296,2832
1538,1651
2058,2468
2557,4234
3151,2086
3949,2817
1965,364
2505,4521
592,75
3775,4057
3589,388
3376,4043
3772,3605
967,701
667,1975
808,1259
3391,1748
3609,631
3497,4579
3231,322
1477,2045
4014,1802
1049,2285
2884,2618
3562,878
4563,2338
4997,4432
1648,2430
3619,4210
4953,3785
4392,2138
2232,1898
135,972
810,1413
3396,2037
1786,2331
52,4387
4221,3508
407,997
3151,2232
968,4625
2940,1880
4478,2311
1815,1967
530,4244
2519,2681
1913,3057
3934,2349
4768,1403
1124,126
4531,4135
2686,3006
4795,207
1063,3240
1271,1448
4181,626
1110,1691
4069,4665
1748,1927
1082,1914
3150,2895
4984,4841
1085,4083
884,213
4312,4883
2937,4007
3732,2528
103,1802
4550,1335
4052,3939
4473,2571
645,2123
1125,4950
3291,1565
2592,2389
3146,484
1709,313
2581,2044
2811,3614
1850,2130
2819,1329
2497,139
2919,4698
4419,476
1238,2895
180,4023
502,201
1978,368
101,1849
2676,545
511,2825
3462,1112
1773,3677
3565,1163
2933,2555
1449,2693
3347,3134
78,3352
2160,4372
4352,3790
343,4626
1004,3349
3197,1403
25,4100
1132,4210
1213,652
2703,1944
1444,2021
180,1383
4599,1378
642,3499
4897,849
3747,1229
4931,328
2068,2787
3084,223
297,4066
734,2935
2398,1235
3752,1934
4156,2914
1329,3315
2765,2210
4033,3216
121,2545
4344,2361
4509,3841
286,4356
4673,4522
2149,313
3734,3236
983,3307
2839,4063
419,169
2236,280
2080,4767
2373,1696
4335,4229
2787,3162
2053,1711
950,4636
2698,1987
4801,4364
2894,1331
1253,2708
74,4791
419,4627
1279,2822
2975,2385
2403,2646
4053,3306
4920,3530
1392,8
1153,4657
357,3619
1030,2796
76,3935
2110,1537
575,4496
3472,2283
1424,4337
1391,518
1289,4748
901,4128
4451,4956
3151,3560
2177,2550
2334,111
3511,2297
2115,4406
4319,4542
2604,2803
1556,3536
1160,48
4188,1272
4614,3146
2956,3802
297,4600
3372,1870
128,2967
4334,1298
1593,2903
4071,156
2041,4682
1983,2248
1516,3440
638,4695
3671,1939
3683,4168
822,1542
1347,3608
534,3495
3233,2227
2070,3581
2917,4994
2685,742
2515,246
4034,89
2052,1661
3259,3167
3568,3188
314,4773
3811,2904
4659,1038
4623,2280
2687,199
3261,3880
4273,1108
340,667
4636,2846
2957,36
568,1562
907,4428
3859,353
2576,207
2578,3216
1026,2253
3329,1164
4879,1208
3311,2507
4190,490
1334,1027
1097,3939
382,4256
356,4546
3172,1476
2823,4799
678,661
4585,1428
2175,1651
2137,2686
2079,2123
4238,3739
1271,3676
4527,1251
316,4796
1449,4196
276,2589
586,1580
3740,1955
3757,4278
1305,2733
1104,3903
4554,468
4451,675
4240,2812
20,655
851,3503
4976,2886
4671,3699
2750,3097
4197,2965
973,1115
2595,186
1495,1024
157,2767
4976,1583
361,3390
508,2549
3190,427
4918,1377
2931,634
3344,442
3610,2907
4949,2095
2537,4609
3716,3376
1480,251
3716,2163
1560,3175
525,2929
788,1010
214,2873
174,1450
3307,111
2644,3739
4538,4063
3903,659
423,4387
3292,2148
227,4225
784,656
2732,2937
806,3861
270,1263
4231,2351
301,5
3085,2766
1285,4491
1203,1315
1430,1302
1987,2689
195,3956
3261,361
1854,1968
2306,2691
1392,1951
2884,1851
1340,3446
3792,2976
4631,1130
3166,4627
110,1328
4781,46
3194,1408
1219,159
206,2648
4178,30
312,386
916,4694
1209,1254
3111,216
3430,3573
4653,2727
2031,1129
2982,4179
1774,4369
3279,598
1063,3340
4637,2872
790,3535
3572,2012
3859,3127
1843,3234
1966,3941
3252,4762
565,2067
2259,4313
3045,4442
177,4948
3887,1941
2263,330
2634,3201
873,4378
399,1181
3214,219
3449,3220
3546,858
3773,4949
3784,1322
1389,2789
3885,3367
1302,4834
2324,4125
921,3016
2829,1168
2929,3872
4249,441
1603,2110
1449,4781
2659,2425
3113,339
2384,4517
3532,285
3363,2204
3073,1705
2841,1099
1082,903
2924,1357
255,3527
4724,3263
3797,623
637,3485
4463,4537
1132,1386
1253,1699
1347,1869
243,4303
1110,4039
2924,2359
2745,970
3349,2144
1296,2805
4108,2718
4367,1184
3081,4550
2500,1921
3101,2838
3197,3860
4190,2508
3359,3328
800,1261
1209,40
4779,4878
4236,875
1678,4880
4940,4206
910,2184
1381,3079
699,295
85,945
2966,3937
2607,885
3707,3023
4786,2079
3985,1873
1302,4600
4518,638
4161,1376
211,1366
4236,3349
4982,1704
3589,3317
2163,173
4812,1099
3180,1403
3612,4628
439,3072
711,4818
3319,2740
1909,4151
3731,320
3931,833
2201,4157
4016,4512
3228,3872
2173,1482
1882,4431
2984,1306
2477,4987
1176,3743
563,561
3916,3221
4637,3358
4555,755
2175,3950
1881,908
2430,1155
2944,771
1135,464
1120,4804
4577,1626
57,270
3312,4573
4929,4016
876,3874
4583,2844
2810,798
42,1979
1856,4077
2551,2248
1840,73
4060,2907
4169,2792
750,634
2496,4699
3459,1853
3010,3122
1191,1897
2358,1632
3941,2942
2317,3148
1059,978
3286,2908
4098,3858
1873,3063
2938,3538
2272,2942
3283,2319
862,3929
2386,988
3653,1263
2818,1995
1531,2769
4090,1873
900,3144
3184,3807
4206,3782
4635,1807
3270,4114
2549,3986
1905,2576
4242,13
752,3864
2598,3229
1862,3533
398,4713
331,3330
765,2158
1640,2677
1462,926
1481,2983
231,1914
357,66
3134,4379
36,1062
954,4953
4963,1633
668,3818
1619,12
4261,3401
547,4398
1451,1919
1859,3403
3128,3888
3,3570
1721,3123
337,2206
233,4774
2843,3010
2763,3718
1100,4881
4235,754
2062,845
847,2235
197,1162
1113,3104
1696,4695
2617,1651
3450,4161
4099,985
4584,864
3888,1020
4169,3667
3848,1463
3726,4487
2783,1055
3409,2084
3090,643
4628,4140
2749,1913
3717,2035
2875,3936
3361,195
3661,49
4525,3316
3654,1834
3518,1974
2074,3909
3891,1155
1869,3611
2322,2948
3982,4910
1219,4279
717,1536
2456,4241
1005,483
1270,2808
300,2739
1313,3838
3197,1537
3370,4064
1573,1372
3202,386
2776,4267
1537,2687
1500,4253
4446,4870
4773,3555
1246,4042
4675,1747
4899,3615
269,1990
3995,4947
2602,4553
1608,4
356,510
1099,1989
3630,4996
1834,893
4224,3485
2346,2770
4042,1574
1337,3052
4565,2920
3589,3201
3595,2601
3838,551
1200,1800
928,1276
3228,3800
4428,1720
3013,381
174,3327
1698,717
3377,4796
4666,3370
4430,1724
33,1117
4348,4011
2528,3114
4455,4400
541,641
4954,4036
125,1670
3435,2949
2556,685
190,1958
228,4816
4199,3010
1256,3815
2116,902
4862,3663
2281,1798
3135,3146
4151,2783
1870,4835
2161,728
360,1268
2584,4785
4616,3973
518,4319
3927,3561
2616,3158
198,955
3557,4973
1094,1161
254,974
3520,2030
260,2228
2164,3148
945,2816
2389,3061
1552,4437
4439,488
2775,4222
4523,114
1322,4058
179,2112
2716,1127
2818,813
4597,3421
554,2060
4673,853
4265,615
4802,1050
3975,283
4261,1830
2845,793
4569,1777
1451,1885
3268,1649
4987,3596
2854,1294
2205,2855
4483,1644
1770,3815
2570,1052
2267,4596
3,682
2687,2526
2648,287
692,115
2395,939
1363,2255
1649,4200
4543,2837
3678,728
3396,4118
4357,3351
1005,658
4862,3792
2655,1426
2429,1974
3579,2348
256,187
67,2206
624,2565
2596,4487
2354,396
2038,4232
1147,2126
4891,459
3183,3429
2300,4771
1846,2076
2562,4364
4009,3676
1006,3470
3067,1388
4265,420
1892,3910
3143,250
1953,664
2525,806
1496,1054
3585,124
2966,4304
3390,1020
4319,2019
4094,2307
2199,3311
3534,3856
478,1345
4294,2927
1658,2041
1238,1812
2464,1190
1526,4519
2051,4457
223,1484
1905,3419
1284,1993
4587,1055
4762,1376
2031,4292
2452,172
3775,1636
510,3375
1374,3121
4141,3177
1740,3152
4368,4310
4040,844
1038,704
4364,95
669,86
1990,3242
3689,2259
3378,2828
3246,2115
627,1292
4800,1987
1719,371
439,4188
549,3655
2039,3691
1101,4913
4175,2368
110,4901
1210,2877
2932,3006
2435,4110
2076,1094
184,3927
1635,4985
3251,2780
3879,2469
3607,1141
3894,2424
2718,2859
4940,3118
3242,4741
3287,4108
2440,4626
1927,1546
3533,1772
2172,4213
1371,4175
1149,4893
4238,4355
4147,3898
2799,2121
3550,2471
3737,4314
427,1591
2105,3758
563,149
1648,4892
845,2100
8,1774
1515,1422
2952,4992
2192,73
135,169
4977,1371
2542,1934
3219,4094
2975,2905
719,4768
3538,944
202,1410
116,4865
4355,2232
2890,1708
3145,1612
2615,1511
1464,4065
1238,4844
4142,3339
4807,1857
22,443
3572,4951
256,1110
4116,698
3435,2542
2717,1548
503,2778
1131,2589
2247,3981
3942,4988
2708,2208
638,3757
1307,882
4197,2121
4578,3314
4980,3668
3451,1302
4976,3433
1035,920
4788,912
1523,3950
2410,819
3487,2148
2262,906
2913,4170
4391,612
66,335
4979,121
1134,1006
3343,3154
3943,221
2566,1150
696,3211
4744,1844
399,1714
3378,226
386,4907
3271,1085
4589,2434
3331,3315
4475,448
3651,4443
1191,4592
1041,1698
4821,1379
731,4723
3846,2357
2194,2070
1733,3302
73,422
4288,574
84,2331
1265,1153
4155,1102
938,2721
52,2648
1190,2705
4737,512
705,3055
1696,2079
3695,2718
3974,3854
4388,4312
691,662
2584,3594
3143,3303
4441,3932
4516,3488
4248,606
1796,1177
3273,4189
2567,1213
577,1172
1277,282
3146,4630
949,557
4295,2192
4630,2479
2885,3907
3294,4845
2614,3823
4197,2828
1902,4113
307,3144
2998,2803
4196,56
2046,4705
630,3893
908,3014
3565,1997
4470,198
4249,4159
914,329
4668,2938
325,2996
1473,2792
2205,3981
3957,3433
10,1934
3910,2820
1316,357
3934,4308
1350,3156
2357,4753
3962,1745
223,3721
4913,1420
3618,2582
4738,2685
3522,4652
1180,4197
3518,3206
1943,3019
3121,2418
1971,1731
2088,1980
4394,4809
3047,3731
1951,4909
2766,1199
2638,1995
1179,2102
4508,1417
4395,4886
939,3660
3930,1677
1487,4917
2932,4958
2040,727
4430,4069
1722,2406
3192,2239
4192,1655
2899,3331
2583,169
354,1573
1613,4947
1339,4564
3754,663
2054,4108
2357,3984
3438,2573
3156,446
942,481
2741,1308
2180,4577
3589,2530
4488,3398
3946,3071
1805,734
656,747
4146,143
4772,4203
2710,4887
784,4616
1924,165
337,782
2556,749
4817,3206
1051,4716
4351,1620
2275,2420
1300,1504
4836,1851
1121,1065
1870,2112
4063,2486
1190,2222
1674,642
1116,3333
1490,1629
4823,140
2879,4405
3930,1033
2218,668
2287,4908
1806,33
1174,1696
4730,27
3425,1041
1191,3972
4411,336
4123,2611
1802,1428
3740,2593
3625,1895
2255,1546
822,2865
4015,2229
2888,4412
4822,2316
1784,2340
4525,3215
536,1435
3076,932
4833,779
4234,1134
3775,1181
3461,2143
4392,1598
1455,560
2171,3608
2679,3081
4193,419
2820,3195
3145,4502
1031,4432
4663,1244
284,2501
3634,4229
4714,3406
1721,3839
1666,3206
718,799
4385,3294
996,4151
3822,1375
264,1650
1908,1971
779,4902
3096,3329
570,4488
1741,4306
1627,1789
4028,744
1568,816
4204,1066
4946,1599
4507,4725
4258,3535
4921,3235
2147,3861
4938,236
2873,2829
1686,283
1618,3608
1763,4243
1737,57
1174,1938
3717,3865
748,4950
2261,2375
3212,2695
2436,726
1019,4066
3035,723
1884,1114
3353,1966
146,3972
2317,1179
4236,3032
1192,948
4160,2633
2623,619
2944,1569
1640,2418
4271,3472
3103,3233
290,1169
3611,631
2357,1270
4314,1540
4934,4008
2866,1272
4795,1217
4690,3517
2169,1733
956,1292
1141,3616
4392,3471
1470,313
2448,3851
4693,698
3003,807
827,4049
2012,4263
350,246
4827,706
3814,2130
4799,2104
4607,3083
1330,1946
999,4760
4241,1309
4068,1992
107,1855
1175,4923
1181,1264
4849,1452
556,865
2289,782
2208,3832
4728,2113
4737,3439
339,612
1158,3698
480,2842
2726,2080
3340,3198
181,2428
1981,1739
730,4854
1179,2030
4283,1744
3710,2618
87,2051
3447,4736
4253,4486
1058,2718
4665,4368
3180,1641
2443,777
3646,2209
1940,2144
2509,693
3014,1187
3685,215
3164,3664
425,2337
4181,3472
3835,4660
4239,1594
1313,61
2185,876
3153,2106
1620,3971
3857,2168
4222,3310
1087,4986
4074,2196
1408,127
1701,2776
2143,895
255,3572
2540,2642
1577,2706
3361,1044
1015,2047
2928,3869
3616,1423
2900,3503
3574,3359
2987,4784
864,719
4568,3709
1073,786
127,4299
3164,3932
1945,3221
791,3455
469,2427
4921,1396
2468,2281
4315,1019
4570,2763
1,1183
12,763
2779,2766
3705,1625
1988,3067
4681,3778
2142,4471
1402,3684
3279,121
845,38
877,2700
1701,2559
4462,942
4104,2467
757,838
4462,2364
499,2013
911,1347
3641,1356
1357,3811
2112,1374
3603,4677
223,4593
3100,133
1005,822
2537,678
3124,1709
2101,3144
1880,3793
4870,4134
4585,3014
1528,3485
68,4825
3448,4935
1914,2320
2841,4203
2570,3874
3830,2074
2822,2234
1341,1527
1820,3786
2650,190
3049,3885
2345,2025
172,834
3762,4239
1492,1619
3184,4928
2717,4519
1088,269
4026,3391
3825,3611
3012,97
1617,4645
1671,558
4016,1077
718,4251
4537,3317
2285,1702
644,3506
186,4460
3909,2807
23,1619
2417,3431
3677,4209
2322,525
318,705
2835,3104
3379,3120
1902,2319
3970,3281
4536,5
3562,2363
3974,1261
3269,3535
3234,4802
4920,2473
3847,4486
3028,2490
3430,4798
1392,2839
305,3477
3597,3611
2542,539
1857,2714
1892,3086
196,2775
1277,1499
4072,566
815,1451
4947,262
1874,1466
81,4261
3582,3534
1470,2371
3251,3607
2551,4352
310,1305
3922,1293
873,956
3879,2316
2500,2472
3204,264
4800,2188
2718,3779
555,490
2406,1800
3725,2534
4490,1686
3093,557
3472,331
349,749
3021,57
2413,2529
475,9
271,353
1276,4865
1386,3848
665,4796
1140,165
4593,1105
832,629
535,4976
948,1652
820,3991
3545,657
943,3879
3651,4107
1376,4422
834,1132
3051,3458
4189,1064
661,4149
287,4530
2032,772
3097,3045
4330,2655
4601,4684
4477,3214
2512,1983
4636,749
1249,4955
3318,2984
2323,2890
4140,3060
171,65
10,1172
2111,1716
1121,1525
948,4010
3964,1030
2257,2136
1137,334
1410,2877
2650,1639
778,4109
4054,1184
2058,2628
1552,948
1990,2888
3271,844
2251,3177
4565,2923
262,2719
1897,3228
276,3449
4399,2213
1304,2145
382,2192
651,2743
3412,63
2184,1857
1468,2075
3025,4290
929,1400
4074,1632
4644,4998
4860,605
3342,2336
349,2113
42,246
4970,1299
2698,1408
3313,1918
4776,4494
1621,258
4449,1552
3718,4478
3683,4859
2742,2839
2991,958
136,3430
2979,1524
3931,1868
3154,4914
121,1541
4049,3386
3213,1325
1260,3513
3123,3643
1758,2070
517,1296
4657,18
2464,1512
808,1263
2050,1444
3259,2102
4273,3450
2624,4411
3476,4018
3801,982
2054,4958
2581,2105
2068,2333
3075,4980
4209,190
4095,4208
4113,1662
3456,2230
3331,296
176,3395
4551,701
2279,208
240,4037
3195,4370
2864,4499
3864,4291
3644,4553
3890,4736
1515,4809
204,4973
2914,1722
2522,3526
546,1795
797,1354
4967,3712
1054,4072
2585,3606
1265,4003
2067,4024
2794,4300
1835,367
2955,4183
2161,3226
4383,4875
788,2512
1062,4128
1144,1191
523,2784
1593,362
221,4011
3857,638
4699,4288
414,1141
3821,4613
1109,4613
2115,663
2477,2922
1069,3833
3036,350
2702,845
824,901
2510,2525
4752,2992
1478,58
3891,3317
3314,1752
748,3422
2185,3983
3538,4037
3086,1191
3516,1684
3474,1573
2192,587
1121,3809
2636,2972
2386,3685
2814,2015
1329,3777
1044,2784
1794,4073
1264,793
4396,4802
4952,3643
2605,1426
716,2589
1336,2230
2918,955
921,3103
2638,2684
2536,2730
12,1550
2477,1528
1390,4569
1302,3893
1972,650
4289,2126
866,417
3103,731
3203,3799
3970,1153
1152,472
926,1238
980,3310
4976,769
2304,670
4724,4756
816,1776
2475,3301
1409,4350
3707,2185
2766,1430
3306,2137
1451,1325
701,1731
4260,2929
3734,743
2719,4229
3476,2476
3757,460
1147,2860
1436,4091
1852,1893
533,1029
3604,3557
815,2955
1840,991
2640,1097
1632,1940
4482,2576
4067,2813
4831,3941
4131,2211
2424,149
1476,2224
1603,4099
4492,902
2554,3602
1425,898
397,3729
4343,4329
4599,4610
4477,3078
3439,2600
4982,2767
1857,2710
4049,1186
4256,213
3947,1145
11,688
4603,153
1133,896
450,2630
2554,1587
513,392
1882,1452
2947,3136
4343,3015
3430,1718
3212,324
4885,1826
4660,60
3653,88
3398,1257
1647,519
4742,1059
2592,2298
2415,3706
2803,4289
3386,4023
2700,2180
4230,2493
3634,4376
2720,3287
2747,3306
2296,116
1753,3825
2447,3302
3510,1063
1465,3910
1559,1399
1580,638
2217,4117
4147,1341
4810,1515
3972,994
3942,2032
3555,1504
952,445
4226,313
736,773
4843,1125
1205,4611
1719,2941
2999,818
784,3085
4000,1029
2749,4697
4278,1664
4974,1833
4892,4670
3637,4940
2350,781
1149,3427
782,1544
1067,1457
2176,2257
2659,1385
3650,2752
4474,819
740,3246
94,510
1545,2813
3565,2033
2710,3501
4826,1015
2688,536
3946,4980
4040,2432
2007,3142
483,2825
2716,1384
735,4590
2261,3753
50,1308
1157,4569
4647,2766
3720,553
3191,2226
3835,2320
238,3313
194,3732
911,1079
2462,2699
2439,4971
1274,4007
3642,56
4989,2659
1271,3392
218,2447
1461,4731
1283,641
3450,4193
3709,4376
1135,3441
2781,1083
4600,2945
4840,1380
675,761
1984,920
1656,3918
1568,226
3081,2701
2165,2908
4832,2069
3628,4253
314,2552
3651,3551
1825,3881
121,4274
4883,3240
2760,1756
4609,2858
2405,1333
1450,2302
1635,973
2887,3096
1264,2472
2094,1373
3323,226
636,1522
3197,3372
641,629
4664,2047
4388,552
1768,2654
3708,4570
4978,803
1388,1307
4961,4819
4983,396
3587,2131
1751,4396
498,4043
600,137
399,4867
1540,1403
4035,1632
4267,2383
4709,4652
717,1231
3053,4467
6,2739
2537,4477
1852,4757
2488,99
4701,3380
2900,580
2692,2293
2834,822
2460,4620
1221,2884
314,118
4890,3280
69,3538
1912,3527
4671,3809
2407,34
1437,4693
3721,4406
553,112
358,744
1043,3222
3142,4896
1435,1801
4489,880
244,334
3231,3320
2318,1402
3115,215
2611,3440
4249,1646
4209,2918
4881,2015
264,3401
4034,4201
390,1638
2771,3749
1507,4652
1615,1739
292,1638
976,2405
2650,2702
2496,1178
1478,4721
3400,2258
452,3134
905,4660
4077,1329
3112,1818
3358,3171
1054,4588
3625,2970
376,4299
1865,1768
4202,3273
3983,1837
4683,640
4426,909
1255,1353
2484,230
2614,932
1074,4327
1472,4476
3408,2100
108,3001
1128,364
4219,1770
3643,2212
3414,491
2041,4827
2181,1582
2762,860
2196,4031
3040,2407
476,2169
882,2942
2332,1595
2789,1905
1975,1632
1540,3100
996,4382
2059,1383
2837,3200
220,4371
358,4379
3553,897
2080,1646
4187,2462
703,856
4097,3458
4528,2891
1470,1207
998,2352
2414,1425
3981,2412
2024,4415
4753,1970
636,3912
1578,2935
3493,2200
2684,846
1150,3797
2877,4150
1062,513
3775,3285
3949,2612
4994,2552
3965,1154
2321,373
3364,543
3797,4861
1454,558
924,3226
1894,2391
878,3484
4779,2419
4433,255
4636,401
3311,3378
4290,3012
1862,2010
1335,887
955,4385
4958,1191
2424,2935
3976,4184
2016,3539
1221,4900
4905,1531
2798,1485
178,2742
1227,842
4205,2576
4967,2030
837,4603
851,3911
4284,4042
2346,2745
742,1710
338,3309
2121,4196
2785,1800
4819,2787
2132,543
3687,1042
313,793
3598,2302
2742,2082
3634,146
2812,2632
1986,2890
2965,2936
3073,1649
142,3226
4759,4410
2524,3280
4938,180
4465,973
2574,198
3555,1174
759,1024
415,4557
2390,1613
2961,1985
4630,678
1826,3546
2600,2348
169,532
3775,2253
3125,1751
1314,3710
89,1293
21,1365
4684,406
752,3029
444,1838
1852,4066
2091,2556
4635,3068
4394,2568
4072,4143
409,1997
1064,1744
1901,804
1150,864
340,4919
4584,749
4833,3552
3712,3685
3239,115
4293,2611
4277,1726
1038,2453
4537,2407
3292,4872
4273,411
3752,4674
4643,2026
3216,2161
4560,2519
991,2572
4696,2094
4208,2188
3704,3659
845,4810
2548,2643
624,3569
2792,55
888,2695
4823,863
4564,1608
4676,41
149,148
2540,3789
902,4233
163,4093
1937,2247
4216,2468
2163,1644
3288,4943
3660,3905
2513,2711
122,4720
4943,4923
2411,874
2799,746
1258,3153
3738,2148
2856,2280
1814,1499
4515,3721
3821,2122
3897,769
680,1412
4528,427
2056,2950
2723,2948
467,3144
2795,1425
2332,3900
363,4428
4131,2480
2615,2212
2620,615
2859,162
3676,1423
2940,2413
2166,4023
14,3649
1292,1998
2847,1911
929,390
3113,3646
3103,4904
300,2657
208,103
3761,2048
1738,1442
3811,841
3278,4603
456,2165
857,1123
478,85
2110,3466
4297,4759
2333,558
2732,3945
4787,2772
2174,2739
1895,387
4259,1950
3622,4287
146,3134
2610,349
4295,1662
935,4599
1997,246
4414,2563
1226,1974
4686,4034
4429,4045
3551,1472
3659,2150
1408,314
2954,2420
2798,2245
1876,3203
44,485
821,1112
4903,2704
4618,1351
158,340
4372,1332
4746,1269
643,1143
1237,4487
1529,3337
3186,153
3024,2361
2820,4616
130,1943
4818,81
3011,3009
2804,706
4707,3038
2992,530
3354,1537
2956,4711
2066,1231
1743,4295
1519,4917
1105,4141
913,2610
4766,4773
4584,786
1355,2930
2092,3833
2148,3658
1514,3235
3429,2952
797,2598
1226,2125
1469,2753
3666,662
3065,3062
2196,2882
1216,3391
1695,1636
1291,4769
3766,4870
3497,4805
2000,12
2994,1118
252,3613
3351,4649
775,427
3181,2370
1632,3529
25,1878
3309,3973
4044,4914
3483,3303
3318,500
2539,1442
1370,2624
998,4128
3680,1303
4712,3194
1866,1030
2092,145
3748,2569
3931,2851
4161,1794
2558,4649
234,4023
1125,2222
1695,3062
127,2350
3535,1856
54,1807
4989,3169
1090,2076
4728,4536
1634,1026
3196,4625
3935,2958
3847,1106
252,4909
3245,3469
2826,2536
1167,2376
4085,2132
3253,4903
1975,3784
1655,1497
4068,3735
309,3359
1658,4314
2395,3484
849,2532
2214,1335
1234,1714
2517,1068
1342,2843
1713,4726
4857,1304
491,858
1036,2067
4708,2347
2322,1521
500,2285
4693,3040
883,3388
2134,2738
4880,4596
4297,2135
882,4544
4566,463
243,2797
3474,4975
3964,2601
4811,1875
977,3483
3455,685
4854,2048
4468,2816
1230,330
75,1032
3165,2990
230,3052
2743,4229
4853,4852
3268,4416
910,860
4536,1581
1730,2644
4546,3296
1182,336
680,267
2903,1702
3372,4670
949,3371
1697,2772
741,844
1125,2239
1930,1402
